CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction
1,22,Female,25,14,4,27,Basic,Monthly,598,9
2,41,Female,28,28,7,13,Standard,Monthly,584,20
3,47,Male,27,10,2,29,Premium,Annual,757,21
4,35,Male,9,12,5,17,Premium,Quarterly,232,18
5,53,Female,58,24,9,2,Standard,Annual,533,18
6,30,Male,41,14,10,10,Premium,Monthly,500,29
7,47,Female,37,15,9,28,Basic,Quarterly,574,14
8,54,Female,36,11,0,18,Standard,Monthly,323,16
9,36,Male,20,5,10,8,Basic,Monthly,687,8
10,65,Male,8,4,2,23,Basic,Annual,995,10
11,46,Female,42,27,9,21,Standard,Annual,526,3
12,56,Male,13,23,5,14,Basic,Quarterly,187,1
13,31,Male,2,7,0,25,Premium,Quarterly,758,24
14,42,Male,46,27,5,8,Premium,Quarterly,438,30
15,59,Male,21,17,2,14,Premium,Quarterly,663,15
16,35,Female,1,3,7,3,Basic,Monthly,677,25
17,29,Male,54,3,6,2,Basic,Monthly,636,22
18,45,Male,9,30,4,25,Basic,Annual,127,18
19,65,Female,40,2,1,6,Premium,Annual,396,21
20,62,Male,39,19,2,15,Premium,Quarterly,202,24
21,48,Male,28,7,1,21,Premium,Monthly,925,13
22,36,Female,58,4,0,1,Premium,Quarterly,463,26
23,55,Male,50,28,0,17,Standard,Quarterly,449,3
24,36,Female,54,20,4,1,Basic,Monthly,373,25
25,64,Male,59,7,5,9,Basic,Annual,460,12
26,65,Female,58,7,3,30,Premium,Annual,166,1
27,53,Female,58,18,8,4,Basic,Quarterly,615,4
28,41,Female,60,7,7,0,Premium,Annual,696,20
29,25,Female,41,11,5,11,Premium,Annual,678,30
30,44,Female,44,7,8,16,Basic,Quarterly,792,27
31,28,Female,23,8,8,0,Basic,Annual,812,3
32,34,Male,26,3,0,2,Basic,Annual,156,15
33,24,Male,1,7,0,3,Standard,Annual,611,4
34,27,Female,41,8,1,7,Premium,Monthly,943,12
35,31,Female,31,6,2,29,Standard,Quarterly,329,6
36,46,Male,30,10,4,16,Standard,Monthly,493,1
37,59,Male,44,17,3,2,Basic,Quarterly,636,30
38,56,Female,27,15,8,24,Standard,Monthly,384,6
39,27,Female,44,21,3,22,Premium,Annual,515,1
40,42,Male,51,10,9,11,Basic,Monthly,820,17
41,29,Female,28,23,7,16,Basic,Quarterly,1000,26
42,36,Male,45,24,5,2,Premium,Quarterly,405,4
43,61,Male,19,2,7,2,Premium,Monthly,879,4
44,57,Male,2,26,5,14,Premium,Monthly,771,4
45,56,Male,9,16,1,22,Premium,Monthly,600,17
46,42,Female,14,14,8,12,Basic,Monthly,825,19
47,36,Female,24,21,8,29,Basic,Monthly,231,8
48,37,Male,13,26,2,26,Basic,Quarterly,259,15
49,51,Female,15,26,10,25,Basic,Quarterly,244,1
50,57,Female,46,30,2,21,Standard,Annual,705,5
51,47,Female,47,4,7,3,Standard,Monthly,136,14
52,29,Male,3,5,0,23,Standard,Monthly,843,6
53,45,Female,17,4,5,23,Standard,Annual,402,8
54,18,Female,22,21,3,30,Premium,Annual,919,3
55,27,Male,57,4,10,20,Premium,Annual,699,4
56,23,Male,34,20,3,26,Basic,Annual,733,1
57,60,Male,24,11,9,10,Standard,Monthly,563,10
58,57,Male,24,28,3,24,Premium,Annual,448,12
59,28,Female,29,3,2,21,Premium,Quarterly,172,2
60,64,Female,39,25,2,9,Standard,Quarterly,933,9
61,30,Male,57,21,8,24,Standard,Annual,576,6
62,18,Female,57,16,10,2,Basic,Quarterly,657,26
63,24,Male,13,25,9,27,Premium,Quarterly,843,29
64,40,Male,54,7,0,15,Standard,Annual,731,27
65,26,Female,33,27,1,23,Basic,Quarterly,665,5
66,41,Male,35,4,6,16,Standard,Annual,546,26
67,64,Female,19,27,2,0,Basic,Monthly,579,14
68,42,Male,34,2,7,17,Premium,Annual,757,25
69,24,Male,28,13,0,27,Premium,Quarterly,515,27
70,52,Female,56,8,9,21,Premium,Annual,599,20
71,48,Male,57,29,1,19,Standard,Monthly,554,12
72,28,Female,34,20,1,1,Basic,Annual,986,19
73,52,Female,5,12,5,23,Basic,Annual,844,12
74,52,Female,37,26,5,29,Standard,Annual,668,3
75,56,Female,55,15,10,3,Standard,Annual,867,26
76,64,Male,48,9,7,26,Premium,Annual,471,11
77,41,Male,59,30,5,26,Basic,Annual,628,11
78,48,Female,47,12,0,29,Basic,Monthly,761,8
79,22,Male,39,10,3,29,Standard,Monthly,599,13
80,42,Female,19,25,5,13,Premium,Monthly,372,8
81,55,Female,54,26,0,9,Premium,Annual,213,13
82,43,Female,6,16,6,21,Basic,Monthly,996,17
83,34,Male,26,22,8,9,Premium,Monthly,403,3
84,27,Male,42,22,3,27,Basic,Monthly,468,25
85,19,Female,59,24,3,26,Basic,Quarterly,368,8
86,58,Male,59,10,5,8,Basic,Monthly,599,25
87,22,Female,39,9,2,13,Basic,Quarterly,759,1
88,22,Male,25,10,10,17,Premium,Monthly,966,7
89,61,Female,28,9,6,5,Standard,Monthly,784,7
90,28,Male,17,19,10,12,Premium,Quarterly,332,24
91,33,Male,36,18,0,24,Premium,Annual,364,1
92,37,Female,57,21,6,6,Premium,Quarterly,209,29
93,65,Female,6,21,1,2,Premium,Quarterly,428,29
94,22,Male,51,27,9,23,Standard,Annual,347,11
95,42,Male,37,14,0,24,Premium,Annual,418,13
96,36,Female,42,18,8,6,Premium,Quarterly,322,10
97,20,Male,32,7,5,14,Basic,Annual,920,28
98,58,Male,21,28,10,2,Basic,Annual,894,28
99,65,Male,21,3,5,20,Standard,Quarterly,570,1
100,40,Male,6,26,10,0,Basic,Annual,632,5
101,52,Female,45,20,6,28,Standard,Monthly,442,10
102,35,Male,47,23,4,8,Standard,Annual,969,7
103,62,Female,16,13,9,15,Standard,Quarterly,719,19
104,41,Male,20,27,4,13,Basic,Monthly,941,18
105,36,Male,10,22,9,0,Standard,Quarterly,218,7
106,39,Male,59,29,5,7,Basic,Annual,225,27
107,62,Male,10,9,1,18,Standard,Quarterly,345,27
108,55,Male,22,15,1,19,Standard,Quarterly,769,30
109,44,Female,54,20,1,9,Basic,Quarterly,717,9
110,39,Female,7,30,3,5,Basic,Monthly,199,13
111,30,Male,57,20,8,26,Premium,Monthly,821,8
112,41,Male,8,11,9,24,Premium,Monthly,900,14
113,56,Male,56,3,3,12,Standard,Monthly,175,11
114,24,Male,10,3,8,13,Basic,Annual,317,3
115,28,Female,43,30,7,5,Basic,Monthly,600,11
116,46,Female,43,10,0,10,Basic,Quarterly,779,23
117,18,Male,36,18,7,14,Standard,Monthly,635,19
118,34,Male,28,7,8,7,Premium,Monthly,524,1
119,39,Male,13,27,6,21,Basic,Quarterly,382,16
120,32,Female,3,12,8,8,Basic,Quarterly,990,21
121,35,Female,47,2,8,21,Basic,Monthly,532,7
122,40,Male,28,4,0,21,Basic,Annual,377,7
123,44,Male,13,26,3,3,Basic,Monthly,486,25
124,52,Female,50,10,2,26,Basic,Quarterly,640,3
125,40,Female,35,15,6,20,Basic,Annual,104,27
126,41,Male,58,27,1,3,Premium,Annual,392,3
127,30,Female,23,29,1,22,Standard,Annual,255,24
128,64,Female,36,17,4,15,Standard,Monthly,237,5
129,43,Female,52,13,10,14,Standard,Quarterly,555,11
130,31,Female,36,23,2,5,Premium,Annual,444,2
131,61,Male,6,15,2,30,Premium,Annual,630,18
132,56,Female,33,7,0,22,Premium,Monthly,664,27
133,57,Male,37,15,4,10,Basic,Monthly,186,9
134,41,Female,59,20,0,17,Standard,Quarterly,978,11
135,46,Male,47,14,10,16,Basic,Annual,996,16
136,65,Female,26,17,10,25,Basic,Annual,254,1
137,25,Male,27,15,2,15,Basic,Quarterly,123,19
138,43,Male,37,11,3,23,Standard,Annual,377,9
139,65,Male,13,4,3,12,Basic,Monthly,921,3
140,25,Female,58,7,5,9,Basic,Annual,920,22
141,45,Male,56,29,0,24,Standard,Annual,335,18
142,20,Male,59,10,5,5,Premium,Quarterly,803,15
143,38,Male,10,9,1,30,Premium,Annual,888,28
144,43,Female,16,20,10,26,Basic,Annual,712,2
145,24,Male,8,12,9,15,Basic,Annual,257,18
146,56,Female,2,20,6,17,Basic,Quarterly,355,12
147,61,Male,58,24,9,5,Premium,Monthly,201,20
148,38,Female,16,13,2,28,Premium,Annual,133,24
149,39,Male,24,6,5,28,Premium,Quarterly,910,22
150,29,Male,42,8,8,21,Premium,Quarterly,419,27
151,31,Male,20,12,1,7,Premium,Annual,115,7
152,25,Male,22,5,5,29,Basic,Monthly,121,20
153,62,Male,22,30,9,21,Basic,Annual,736,24
154,64,Male,13,16,10,18,Standard,Annual,934,11
155,57,Female,7,27,7,23,Standard,Annual,640,1
156,48,Male,41,25,10,1,Standard,Annual,119,13
157,21,Male,3,8,5,15,Premium,Quarterly,994,25
158,26,Female,16,10,0,14,Standard,Annual,411,19
159,63,Male,36,21,8,0,Premium,Annual,817,22
160,28,Male,14,5,3,4,Premium,Monthly,200,7
161,36,Male,51,1,0,7,Premium,Annual,837,16
162,31,Male,34,23,5,12,Standard,Quarterly,164,2
163,64,Female,46,2,1,12,Basic,Quarterly,413,12
164,49,Female,53,16,5,3,Standard,Annual,423,15
165,58,Female,54,18,1,29,Premium,Quarterly,235,29
166,51,Male,6,22,7,23,Premium,Quarterly,862,3
